"lat","lon","Nucifraga_caryocatactes","Merops_apiaster","Grus_grus","Coenagrion_mercuriale","Ophiogomphus_cecilia","Phaneroptera_falcata","Pinus_cembra","Corylus_avellana"
38.25,21.25,0,0,0,0,0,0,0,0
38.25,21.75,0,0,0,0,0,0,0,0
38.25,22.25,0,0,0,0,0,0,0,0
38.25,22.75,0,0,0,0,0,0,0,0
38.25,23.25,0,0,0,0,0,0,0,0
38.25,23.75,0,0,0,0,0,0,0,0
38.25,24.25,0,0,0,0,0,0,0,0
38.25,24.75,0,0,0,0,0,0,0,0
38.25,25.75,0,0,0,0,0,0,0,0
38.25,26.25,0,0,0,0,0,0,0,0
38.75,-9.25,0,1,0,1,0,0,0,0
38.75,-8.75,0,1,0,1,0,0,0,0
38.75,-8.25,0,1,0,1,0,0,0,0
38.75,-7.75,0,1,0,1,0,0,0,0
38.75,-7.25,0,0,0,1,0,0,0,0
38.75,-6.75,0,1,0,1,0,0,0,0
38.75,-6.25,0,1,0,1,0,0,0,0
38.75,-5.75,0,1,0,1,0,0,0,0
38.75,-5.25,0,1,0,1,0,0,0,0
38.75,-4.75,0,0,0,1,0,0,0,0
38.75,-4.25,0,1,0,1,0,0,0,0
38.75,-3.75,0,1,0,1,0,0,0,0
38.75,-3.25,0,1,0,1,0,0,0,0
38.75,-2.75,0,1,0,1,0,0,0,0
38.75,-2.25,0,0,0,1,0,0,0,0
38.75,-1.75,0,0,0,1,0,0,0,0
38.75,-1.25,0,0,0,1,0,0,0,0
38.75,-0.75,0,1,0,1,0,0,0,0
38.75,-0.25,0,1,0,1,0,0,0,1
38.75,0.25,0,0,0,1,0,0,0,0
38.75,1.25,0,0,0,0,0,0,0,0
38.75,1.75,0,0,0,0,0,0,0,0
38.75,8.25,0,0,0,0,0,0,0,0
38.75,8.75,0,0,0,0,0,0,0,0
38.75,14.75,0,0,0,1,0,0,0,0
38.75,15.75,0,0,0,1,0,0,0,0
38.75,16.25,0,0,0,1,0,0,0,0
38.75,16.75,0,0,0,1,0,0,0,0
38.75,17.25,0,0,0,1,0,0,0,0
38.75,20.75,0,0,0,0,0,0,0,0
38.75,21.25,0,1,0,0,0,0,0,0
38.75,21.75,0,1,0,0,0,0,0,1
38.75,22.25,1,0,0,0,0,0,0,1
38.75,22.75,0,0,0,0,0,0,0,0
38.75,23.25,0,0,0,0,0,0,0,0
38.75,23.75,0,0,0,0,0,0,0,0
38.75,24.25,0,0,0,0,0,0,0,0
38.75,24.75,0,0,0,0,0,0,0,0
38.75,25.75,0,0,0,0,0,0,0,0
38.75,26.25,0,0,0,0,0,0,0,0
39.25,-9.25,0,1,0,1,0,0,0,0
39.25,-8.75,0,1,0,1,0,0,0,0
39.25,-8.25,0,1,0,1,0,0,0,0
39.25,-7.75,0,1,0,1,0,0,0,0
39.25,-7.25,0,0,0,1,0,0,0,0
39.25,-6.75,0,1,0,1,0,0,0,0
39.25,-6.25,0,1,0,1,0,0,0,0
39.25,-5.75,0,1,0,1,0,0,0,0
39.25,-5.25,0,1,0,1,0,0,0,0
39.25,-4.75,0,0,0,1,0,0,0,0
39.25,-4.25,0,1,0,1,0,0,0,0
39.25,-3.75,0,1,0,1,0,0,0,0
39.25,-3.25,0,1,0,1,0,0,0,0
39.25,-2.75,0,1,0,1,0,0,0,0
39.25,-2.25,0,1,0,1,0,0,0,0
39.25,-1.75,0,1,0,1,0,0,0,0
39.25,-1.25,0,0,0,1,0,0,0,0
39.25,-0.75,0,1,0,1,0,0,0,0
39.25,-0.25,0,1,0,1,0,0,0,0
39.25,1.25,0,0,0,0,0,0,0,0
39.25,1.75,0,0,0,0,0,0,0,0
39.25,2.75,0,0,0,0,0,0,0,0
39.25,3.25,0,0,0,0,0,0,0,0
39.25,8.25,0,0,0,0,0,0,0,0
39.25,8.75,0,1,0,0,0,0,0,0
39.25,9.25,0,0,0,0,0,0,0,0
39.25,9.75,0,0,0,0,0,0,0,0
39.25,15.75,0,0,0,1,0,0,0,0
39.25,16.25,0,0,0,1,0,0,0,0
39.25,16.75,0,0,0,1,0,0,0,1
39.25,17.25,0,0,0,1,0,0,0,0
39.25,19.75,0,0,0,0,0,0,0,0
39.25,20.25,0,0,0,0,0,0,0,0
39.25,20.75,0,1,0,0,0,0,0,0
39.25,21.25,0,1,0,0,0,0,0,0
39.25,21.75,0,1,0,0,0,0,0,1
39.25,22.25,0,1,0,0,0,0,0,0
39.25,22.75,0,0,0,0,0,0,0,0
39.25,23.25,0,0,0,0,0,0,0,0
39.25,23.75,0,0,0,0,0,0,0,0
39.25,24.25,0,0,0,0,0,0,0,0
39.25,25.75,0,0,0,0,0,0,0,0
39.25,26.25,0,1,0,0,0,0,0,0
39.25,26.75,0,0,0,0,0,0,0,0
39.75,-9.25,0,0,0,1,0,0,0,0
39.75,-8.75,0,1,0,1,0,0,0,0
39.75,-8.25,0,1,0,1,0,0,0,1
39.75,-7.75,0,1,0,1,0,0,0,1
39.75,-7.25,0,0,0,1,0,0,0,0
39.75,-6.75,0,1,0,1,0,0,0,0
39.75,-6.25,0,1,0,1,0,0,0,0
39.75,-5.75,0,1,0,1,0,0,0,0
39.75,-5.25,0,1,0,1,0,0,0,0
39.75,-4.75,0,0,0,1,0,0,0,0
39.75,-4.25,0,1,0,1,0,0,0,0
39.75,-3.75,0,1,0,1,0,0,0,0
39.75,-3.25,0,1,0,1,0,0,0,0
39.75,-2.75,0,1,0,1,0,0,0,0
39.75,-2.25,0,1,0,1,0,0,0,0
39.75,-1.75,0,1,0,1,0,0,0,0
39.75,-1.25,0,0,0,1,0,0,0,1
39.75,-0.75,0,1,0,1,0,0,0,1
39.75,-0.25,0,1,0,1,0,0,0,0
39.75,2.25,0,0,0,0,0,0,0,0
39.75,2.75,0,1,0,0,0,0,0,0
39.75,3.25,0,1,0,0,0,0,0,0
39.75,3.75,0,1,0,0,0,0,0,0
39.75,4.25,0,0,0,0,0,0,0,0
39.75,8.25,0,0,0,0,0,0,0,0
39.75,8.75,0,1,0,0,0,0,0,0
39.75,9.25,0,1,0,0,0,0,0,0
39.75,9.75,0,1,0,0,0,0,0,0
39.75,15.75,0,0,0,1,0,0,0,0
39.75,16.25,0,1,0,1,0,0,0,1
39.75,16.75,0,0,0,1,0,0,0,0
39.75,18.25,0,0,0,1,0,0,0,0
39.75,19.75,0,0,0,0,0,0,0,0
39.75,20.25,0,1,0,0,0,0,0,0
39.75,20.75,0,1,0,0,0,0,0,1
39.75,21.25,0,1,0,0,0,0,0,1
39.75,21.75,0,1,0,0,0,0,0,1
39.75,22.25,0,1,0,0,0,0,0,0
39.75,22.75,0,0,0,0,0,0,0,1
39.75,23.25,0,1,0,0,0,0,0,0
39.75,23.75,0,1,0,0,0,0,0,0
39.75,25.25,0,0,0,0,0,0,0,0
40.25,-8.75,0,0,0,1,0,0,0,0
40.25,-8.25,0,0,0,1,0,0,0,1
40.25,-7.75,0,1,0,1,0,0,0,1
40.25,-7.25,0,0,0,1,0,0,0,0
40.25,-6.75,0,1,0,1,0,0,0,0
40.25,-6.25,0,1,0,1,0,0,0,0
40.25,-5.75,0,1,0,1,0,0,0,1
40.25,-5.25,0,1,0,1,0,0,0,1
40.25,-4.75,0,0,0,1,0,0,0,1
40.25,-4.25,0,1,0,1,0,0,0,0
40.25,-3.75,0,1,0,1,0,0,0,0
40.25,-3.25,0,1,0,1,0,0,0,0
40.25,-2.75,0,1,0,1,0,0,0,0
40.25,-2.25,0,1,0,1,0,0,0,0
40.25,-1.75,0,1,0,1,0,0,0,1
40.25,-1.25,0,0,0,1,0,0,0,0
