lat,lon,bio1_mean,bio2_mean,bio3_mean,bio4_mean,bio5_mean,bio6_mean,bio7_mean,bio8_mean,bio9_mean,bio10_mean,bio11_mean,bio12_mean,bio13_mean,bio14_mean,bio15_mean,bio16_mean,bio17_mean,bio18_mean,bio19_mean,tmin1_mean,tmin2_mean,tmin3_mean,tmin4_mean,tmin5_mean,tmin6_mean,tmin7_mean,tmin8_mean,tmin9_mean,tmin10_mean,tmin11_mean,tmin12_mean,tmax1_mean,tmax2_mean,tmax3_mean,tmax4_mean,tmax5_mean,tmax6_mean,tmax7_mean,tmax8_mean,tmax9_mean,tmax10_mean,tmax11_mean,tmax12_mean,alt_mean,prec1_mean,prec2_mean,prec3_mean,prec4_mean,prec5_mean,prec6_mean,prec7_mean,prec8_mean,prec9_mean,prec10_mean,prec11_mean,prec12_mean
35.75,23.75,195.75,61.5,29.25,5394.5,305.75,98,207.75,131.25,265.75,265.75,130.25,610.75,116.25,1,84.25,326.25,5.75,5.75,281.5,100.5,98,109.25,135,172.25,217.75,237.25,240.75,217,183,149.75,116.75,150.25,154.25,170,203.5,247,290.5,303,305.75,276.75,244.25,204.5,168.25,133,116.25,97,68.25,32.75,9.25,2.75,1,2,13.25,68,87.5,113
35.75,24.25,198,68.5,31,5486.5,313,97,216,132,270,270,132,646.5,118,1,84,345,6,6,305.5,98.5,97,108,135,172.5,219,235.5,238.5,213,180.5,147.5,115,155,158,173.5,210,254,300,312.5,313,284,247,206,170,115,115,112,78.5,35.5,9,3,1,2,12,70.5,90,118
35.75,27.25,193.800003051758,63.5999984741211,29.6000003814697,5412.39990234375,304.600006103516,93.8000030517578,211.399993896484,130.600006103516,263.600006103516,263.799987792969,128,707.200012207031,166.199996948242,1,95.4000015258789,422.799987792969,4.40000009536743,12.8000001907349,347.200012207031,96.4000015258789,93.8000030517578,105.400001525879,132.800003051758,167,214.800003051758,232.600006103516,244.800003051758,218.399993896484,180.800003051758,144.199996948242,115.800003051758,152.399993896484,152.399993896484,167.600006103516,202.600006103516,238.800003051758,284.399993896484,299.600006103516,304.600006103516,282.399993896484,245.800003051758,206.800003051758,172.399993896484,228.4,166.199996948242,105,76,26,12.8000001907349,2.59999990463257,1,1,11.1999998092651,59,94.5999984741211,151.800003051758
35.75,27.75,200.5,67,30,5549.5,315,97,218,152.5,271.5,272.5,134,799,194.5,0,100.5,496.5,3,13,381,100.5,97,109.5,138.5,175,223.5,238.5,251.5,226.5,184,145.5,117.5,158.5,160,177,211,249,294.5,308.5,315,293.5,252.5,214,178.5,85,194.5,105.5,81.5,24,15,2,1,0,11,62,116,186
36.25,-4.75,192.5,87,40,4491,308,92.5,215,149,250.5,253.5,140,546,95.5,1,72.5,271,14.5,21,257,92.5,97.5,111,129.5,155.5,187,211.5,214.5,199.5,162.5,125.5,104.5,177,183.5,194.5,216,248,277,304,308,286,246,209,185,34,91.5,70,66.5,34.5,21,10,1,3.5,16.5,52.5,84.5,95.5
36.25,-5.25,185,85.8333358764648,40.1666679382324,4353.83349609375,298.833343505859,87.8333358764648,211,142.16667175293,240.66667175293,244.5,133.5,684.666687011719,121.833335876465,1,75.3333358764648,340.666656494141,14.1666669845581,23.6666660308838,327.166656494141,87.8333358764648,92.3333358764648,106.5,124.166664123535,148.5,177.16667175293,201.16667175293,204.83332824707,190.33332824707,156,118.833335876465,97.8333358764648,170,177,188.83332824707,208.66667175293,238.5,266.333343505859,294.666656494141,298.833343505859,277.333343505859,238.5,201.66667175293,175.5,124.5,116.666664123535,88.5,91.5,44.3333320617676,24.6666660308838,10,1,3.16666674613953,19.3333339691162,61.6666679382324,101.833335876465,121.833335876465
36.25,-5.75,181,80.1111145019531,38.2222213745117,4444.22216796875,290.111114501953,83.3333358764648,206.66667175293,134.555557250977,237.33332824707,240.66667175293,126.666664123535,750.666687011719,129.111114501953,0.666666686534882,74.5555572509766,349.444458007812,15.1111106872559,25.4444446563721,345,83.3333358764648,89.5555572509766,107.444442749023,125.888885498047,148.888885498047,178.111114501953,200.888885498047,205.33332824707,189.444442749023,154.888885498047,116.444442749023,92.8888854980469,159.33332824707,168.444442749023,184.33332824707,205.111114501953,232.222229003906,261,287.555541992188,290.111114501953,271.666656494141,233.555557250977,195.111114501953,166,150.333333333333,116.777778625488,98.7777786254883,119.222221374512,48.8888893127441,25.8888893127441,11.4444446563721,0.666666686534882,3.11111116409302,21.4444446563721,71.2222213745117,103.111114501953,129.111114501953
36.25,-6.25,189,72.3333358764648,35.6666679382324,4531.33349609375,291,93,198,142,244.66667175293,249.66667175293,133,620,108.666664123535,1,71,273,13.3333330154419,25,267.666656494141,93,102.333335876465,119.333335876465,137,161.33332824707,191,213,218.33332824707,203.66667175293,166,128.33332824707,102,159.66667175293,170.33332824707,187.33332824707,209.66667175293,239.33332824707,266.666656494141,291,290.333343505859,279.666656494141,240.33332824707,199,168.66667175293,31.3333333333333,85.3333358764648,73.3333358764648,99,40.6666679382324,25,9.66666698455811,1,2.66666674613953,21.6666660308838,73.6666641235352,78.3333358764648,108.666664123535
36.25,14.25,197,71,32.5,5163,316.5,103.5,213,183.5,262.5,267,137,488.5,94.5,0,82.5,260,8,36,160,103.5,103.5,110.5,126.5,160.5,199.5,226,235,217.5,185.5,150.5,121,161.5,165.5,175.5,197.5,240,283,313.5,316.5,292,253,213,178,48.4999999999999,81,45,34,23.5,6.5,3,0,5,31,94.5,73,93
36.25,22.75,189.5,60.75,27.75,5513.5,306,92.75,213.5,142.5,261,261.25,123.25,599.25,119.75,2,82.75,323.75,7.5,15.25,247.75,94.75,92.75,104.5,129.25,166.5,207.75,232,234.75,212.5,176.5,144.5,113.5,141.25,145.25,160.75,191,236.75,281.5,305.5,305.25,277.75,234.75,198,162.25,146.75,108.75,77.75,61.5,30.75,12.5,2.25,2.75,2.5,17,69.25,95.25,119.75
36.25,23.25,189.25,58.75,26.75,5590.75,306.5,92.75,213.75,141.5,262.25,262.25,122.25,568,112.5,2.25,82.75,306.25,6.75,6.75,237.5,95.25,92.75,104.75,130,168.25,210.5,234.25,236.75,213.25,177.25,145.25,114,139,142.75,158.75,189.75,236.75,282.25,306.5,305,276,232.25,196,160,163.25,104,73.5,59.75,29.75,11.75,2.25,2.5,2.25,15.25,64.25,90,112.5
36.25,25.25,198.66667175293,55.3333320617676,28,5109.33349609375,299,105,194,138,265,265,135.33332824707,471.333343505859,91.3333358764648,0,83,253,4,4,222,108.333335876465,105,115,143,176,222,241,246.33332824707,220.33332824707,188,156.33332824707,128.66667175293,156.33332824707,156.33332824707,171,207,242.66667175293,284.666656494141,296,299,273.333343505859,247.33332824707,207.66667175293,175.33332824707,47.3333333333333,91.3333358764648,75.6666641235352,55,25.3333339691162,9.66666698455811,3,1,0,10,51.6666679382324,62.6666679382324,85.6666641235352
36.25,25.75,198.75,57.75,28.25,5192,303.5,103.5,200,138,266.25,266.25,135,508.25,104.25,0,85.5,282.75,3,3,246.25,107.25,103.5,113.75,141.75,174.5,221.25,240.75,247.5,220.5,187.75,155.75,127.5,157,156.25,171,206.75,242.25,285,299.25,303.5,277.25,249,209.25,176.5,65.5,104.25,83.75,58.5,26,10.5,2.5,0.5,0,10.5,51.75,65.25,95
36.25,27.25,197,74.5,31,5828.5,324,89.5,234,128,272.5,272.5,127,760,177,1,96.5,464.5,5.5,5.5,370.5,91.5,89.5,103,131.5,167.5,215,234.5,243,216.5,176,139.5,109.5,152.5,153,173,209,252.5,299.5,319.5,324,296,252,207.5,171.5,163,177,118.5,75.5,29,17.5,4,1,1,12,58,99,170
36.25,27.75,194.16667175293,70.8333358764648,30.6666660308838,5787.83349609375,315,87.5,227.5,136.66667175293,268.5,268.5,124.666664123535,838.166687011719,199.66667175293,0.833333313465118,98.5,513.833312988281,6.33333349227905,12.1666669845581,396.833343505859,89.6666641235352,87.5,100.833335876465,130,167.16667175293,216.16667175293,231.66667175293,244.66667175293,217.83332824707,174.16667175293,135.16667175293,106.666664123535,148.5,150.66667175293,169.66667175293,205.16667175293,246.83332824707,293.333343505859,309.5,315,291.666656494141,247,205.5,168.33332824707,215.5,199.66667175293,112.166664123535,85.1666641235352,27.3333339691162,19,4.16666650772095,1.5,0.833333313465118,12.5,62.8333320617676,118.5,195
